tag_code,date,city_location,state_province,zip_pc,country,first_name,notes
AGBP697,2022-09-11T00:00:00Z,New London,NH,,USA,Vicki,It was in a field of wildflowers. It looked whole and healthy. I was unable to tell if was male female.
AGBP978,2022-08-16T00:00:00Z,Ogunquit,ME,,USA,Buddy,NA
AGBR818,2022-10-07T00:00:00Z,Stone Harbor,NJ,,USA,Margaret,Feeding at Stone Harbor Point with a group of other monarchs.
AGBS458,2022-08-21T00:00:00Z,Cromwell,CT,,USA,Elizabeth,The monarch has been visiting my blazing star liatris with frequency. There have also been unmarked monarchs.
AGBT407,2022-09-13T00:00:00Z,North Haven,CT,,USA,Amanda,in my flower garden (on sedum plants)
AGBT453,2022-09-25T00:00:00Z,Branford,CT,,USA,Katie,NA
AGBT695,2022-09-19T00:00:00Z,Massapequa,NY,,USA,Helen,On our zinnia patch infront of our home
AGBU226,2022-09-08T00:00:00Z,Point Pleasant,NJ,,USA,Aarika,NA
AGBU437,2022-09-14T00:00:00Z,Bloomfield,NJ,,USA,Susan,The monarch was nectaring on Rudbeckia maxima
AGBW316,2022-08-23T00:00:00Z,NYC,NY,,USA,IRWIN,"Seen at The Shakespeare Garden in Central Park, NYC"
AGBW330,2022-08-24T00:00:00Z,Leonia,NJ,,USA,Don,"Butterfly was seen at the Bergen County Audubon Butterfly garden, nectaring on swamp milkweed"
AGBW403,2022-09-05T00:00:00Z,Saltaire,NY,,USA,Kenneth,NA
AGBW403,2022-09-05T00:00:00Z,Saltaire Fire Island,NY,,USA,Nathaniel,NA
AGBW426,2022-09-02T00:00:00Z,Leonia,NJ,,USA,David,In grass wings closed
AGBX868,2022-10-08T00:00:00Z,Cape May Point,NJ,,USA,Genny,Found nectaring in good condition
AGBX948,2022-10-16T00:00:00Z,Wildwood Crest,NJ,,USA,Patti,"I'm right before the butterflies get to Cape May NJ, which is a stop over for them before they cross the Delaware Bay. I have a large butterfly bush which attracts many monarchs."
AGBY806,2022-09-10T00:00:00Z,Hopewell Twp,NJ,,USA,C,Mercer County Master Gardens
AGBZ273,2022-10-11T00:00:00Z,New York,NY,,USA,George,Heather Gardens in Fort Tryon Park
AGBZ273,2022-10-11T00:00:00Z,New York,NY,,USA,David,"Heather Garden, Fort Tryon Park"
AGBZ591,2022-09-03T00:00:00Z,New York City,NY,,USA,Brian,NA
AGCA024,2022-08-14T00:00:00Z,Belford,NJ,,USA,Erica,"Monmouth Co NJ, on our butterfly bush"
AGCA180,2022-08-15T00:00:00Z,Port Washington,NY,,USA,Chris,Feeding on coneflower
AGCA207,2022-08-20T00:00:00Z,Port Washington,NY,,USA,Vincent,NA
AGCA324,2022-08-20T00:00:00Z,BROOKLYN,NY,,USA,FRANK,BACKYARD IN MY GARDEN
AGCA475,2022-08-29T00:00:00Z,New York,NY,,USA,Sandra,"In a public park called Rockefeller Park in Battery Park City, NY. It was nectaring on zinnia"
AGCA669,2022-08-26T00:00:00Z,New York City,NY,,USA,Edward,Feeding on my sunflowers
AGCB163,2022-09-05T00:00:00Z,New York City,NY,,USA,Amber,NA
AGCB313,2022-09-03T00:00:00Z,Brooklyn,NY,,USA,Kathryn,Eaten by praying mantis in a butterfly bush
AGCB392,2022-09-04T00:00:00Z,Dix Hills,NY,,USA,Jody,This monarch was nectaring on my butterfly bush in my back yard.
AGCB451,2022-09-04T00:00:00Z,Port washington,NY,,USA,WILLIAM,NA
AGCB492,2022-09-05T00:00:00Z,Port Washington,NY,,USA,R,NA
AGCC133,2022-09-16T00:00:00Z,EGG HARBOR CITY,NJ,,USA,JODI,NA
AGCC290,2022-09-17T00:00:00Z,Brooklyn,NY,,USA,Bill,"Brooklyn bridge park, pier 4"
AGCC850,2022-08-28T00:00:00Z,Bayside,NY,,USA,Dai Rong,Back Yard
AGCE196,2022-09-13T00:00:00Z,Brooklyn,NY,,USA,Douglas,Wildflower Meadow on Pier 6 at Brooklyn Bridge Park
AGCE201,2022-09-13T00:00:00Z,New York,NY,,USA,NA,NA
AGCE312,2022-09-15T00:00:00Z,"Davis Park, Fire Island",NY,,USA,Marie,NA
AGCE528,2022-09-05T00:00:00Z,Middle village,NY,,USA,Liz,At my back door
AGCH789,2022-09-21T00:00:00Z,Watertown,NY,,USA,Shannon,The tag was placed incorrectly and the monarch had trouble flying.
AGCL276,2022-09-10T00:00:00Z,LAKESIDE-MARBLEHEAD,OH,,USA,Carol,Spotted with several other monarchs among the goldenrod in the fields around a protected marsh area within a mile of the southern Lake Erie shoreline.
AGCM268,2022-09-09T00:00:00Z,Getzville,NY,,USA,Karen,NA
AGCN293,2022-10-15T00:00:00Z,Cades Cove,TN,,USA,Sarah,"I know we check M/F and wrote it on the notes for Tremont, but I don't have those notes... sorry!
 
 It was the first Monarch caught while we were tagging today."
AGCN892,2022-09-07T00:00:00Z,Pittsburgh,PA,,USA,Matthew,Hanging out in my front yard.
AGCP012,2022-09-18T00:00:00Z,Pittsburgh,PA,,USA,K.,It was feeding on a butterfly bush in my yard.
